SCHOOL_NAME,YEAR,Num_Applicants_That_Year,Num_Applicants_Next_Year,Pct_Change
Kentucky,2015,18725,20480,9.372496662216289
Gonzaga,2021,8853,9887,11.679656613577318
Kansas,2008,10367,10902,5.160605768303269
Virginia,2019,40839,40879,0.09794559122407503
Baylor,2021,36588,40753,11.38351372034547
Villanova,2018,22741,22909,0.7387537927092036
Wisconsin,2015,28007,32839,17.252829649730426
Duke,2010,22280,25462,14.281867145421904
Louisville,2013,9166,10604,15.68841370281475
North Carolina,2005,18850,18414,-2.312997347480106
Illinois,2005,21986,18985,-13.649595196943508
Kentucky,2012,15153,19810,30.733188147561542
Duke,2015,31220,31671,1.444586803331198
Duke,2004,17749,18090,1.9212349991548818
Gonzaga,2017,7613,8402,10.363851306974912
Villanova,2016,17272,21123,22.296201945345068
Memphis,2008,6025,6156,2.1742738589211617
North Carolina,2009,21543,23225,7.807640532887714
Florida,2007,24126,26326,9.118793003398823
Michigan State,2019,44322,45426,2.4908623257073237
North Carolina,2008,20090,21543,7.232453957192633
Ohio State,2012,25816,31359,21.471180663154634
Texas Tech,2019,25384,29131,14.761266939804601
UCLA,2008,50746,55423,9.21648996965278
UConn,2023,46645,55479,18.93879301104084
North Carolina,2016,34889,39650,13.64613488492075
Maryland,2002,23117,25028,8.26664359562227
Ohio State,2007,21508,20932,-2.678073275060443
UConn,2009,21999,22142,0.6500295467975817
Kansas,2002,9005,9573,6.307606885063853
Houston,2021,29721,29783,0.20860670906093334
Kansas,2003,9573,9700,1.326647863783558
Georgetown,2007,16163,18697,15.677782589865744
Florida,2014,28662,29220,1.946828553485451
UConn,2004,18466,18608,0.7689808296328388
Florida,2006,22093,24126,9.202009686325987
North Carolina,2017,39650,41939,5.773013871374527
Michigan,2013,46813,49776,6.329438403862175
Kansas,2022,16204,19226,18.649716119476672
Oklahoma State,2004,6633,6533,-1.5076134479119554
UCLA,2007,47317,50746,7.246866876598262
Kansas,2012,10035,12389,23.45789735924265
Oklahoma,2002,7248,8140,12.306843267108167
Wisconsin,2014,25438,28007,10.099064391854705
Louisville,2005,5335,5712,7.066541705716964
Kentucky,2011,13537,15153,11.937652360197976
Michigan State,2005,21844,23247,6.422816334004761
West Virginia,2010,14229,14335,0.7449574812003655
Duke,2022,50016,46365,-7.299664107485605
Auburn,2019,20205,17946,-11.180400890868597
Oregon,2017,20317,24474,20.460697937687648
Indiana,2002,21264,22178,4.298344620015049
Syracuse,2013,28269,26790,-5.231879443913828
Georgia Tech,2004,8568,9172,7.049486461251167
Villanova,2022,23835,23127,-2.9704216488357456
Michigan State,2009,25395,26907,5.953927938570585
Michigan,2018,64917,64972,0.08472357009720104
Villanova,2009,13098,14365,9.673232554588488
UConn,2011,27247,29966,9.979080265717327
Oklahoma,2016,14391,15579,8.25515947467167
Kansas,2018,14752,15093,2.3115509761388284
Texas,2003,24519,23008,-6.162567804559729
UCLA,2006,42223,47317,12.064514601046824
Syracuse,2003,14144,16019,13.256504524886878
Butler,2010,6760,9518,40.798816568047336
Kentucky,2014,20677,18725,-9.440441069787687
UCLA,2021,139489,149801,7.3926976320713464
UConn,2014,31280,34978,11.822250639386189
LSU,2006,10825,10135,-6.374133949191687
Michigan State,2015,35300,37480,6.175637393767705
Marquette,2003,7592,10206,34.43097997892519
South Carolina,2017,26015,30889,18.735344993273113
Louisville,2012,7892,9166,16.14292954891029
San Diego State,2023,82800,89972,8.66183574879227
Wichita State,2013,3492,4517,29.352806414662087
North Carolina,2022,56341,57902,2.770628849328198
Michigan State,2010,26907,28416,5.608206043037128
Florida Atlantic,2023,27612,31511,14.12067217151963
Syracuse,2016,30923,33099,7.036833424958769
George Mason,2006,11023,13563,23.04272883969881
Miami,2023,48286,53954,11.738392080520233
Loyola Chicago,2018,25122,25583,1.8350449804951836
Butler,2011,9518,9682,1.7230510611472998
VCU,2011,,,
